# /dev/cpu_dma_latency set to 0us
# Histogram
000395 000000	000000	000000	000000	000000
000396 000000	000000	000000	000000	000000
000397 000000	000000	000000	000000	000000
000398 000000	000000	000000	000000	000000
000399 000000	000000	000000	000000	000000
# Total: 018000000 018000000 017999918 017999936 071999854
# Min Latencies: 00004 00003 00003 00004
# Avg Latencies: 00006 00025 00006 00006
# Max Latencies: 00160 00295 00351 00149 00351
# Histogram Overflows: 00000 00000 00000 00000 00000
